date,cases
2014-01-05,1930
2014-01-12,2142
2014-01-19,2252
2014-01-26,2074
2014-02-02,2204
2014-02-09,2266
2014-02-16,2485
2014-02-23,2061
2014-03-02,1630
2014-03-09,1904
2014-03-16,1698
2014-03-23,1473
2014-03-30,1137
2014-04-06,1316
2014-04-13,1261
2014-04-20,980
2014-04-27,1152
2014-05-04,1282
2014-05-11,1282
2014-05-18,1618
2014-05-25,1762
2014-06-01,1577
2014-06-08,1803
2014-06-15,2036
2014-06-22,2310
2014-06-29,2146
2014-07-06,2153
2014-07-13,3146
2014-07-20,2989
2014-07-27,1818
2014-08-03,2975
2014-08-10,3071
2014-08-17,2811
2014-08-24,2476
2014-08-31,2209
2014-09-07,2291
2014-09-14,1730
2014-09-21,2299
2014-09-28,2148
2014-10-05,1826
2014-10-12,2176
2014-10-19,1936
2014-10-26,2087
2014-11-02,2019
2014-11-09,2231
2014-11-16,2430
2014-11-23,2293
2014-11-30,2437
2014-12-07,2519
2014-12-14,2951
2014-12-21,2691
2015-01-04,2629
2015-01-11,2922
2015-01-18,2962
2015-01-25,3524
2015-02-01,3057
2015-02-08,3335
2015-02-15,2979
2015-02-22,2670
2015-03-01,2646
2015-03-08,2290
2015-03-15,2021
2015-03-22,1657
2015-03-29,1634
2015-04-05,1571
2015-04-12,1357
2015-04-19,1468
2015-04-26,1524
2015-05-03,1476
2015-05-10,1698
2015-05-17,1959
2015-05-24,2070
2015-05-31,2229
2015-06-07,2166
2015-06-14,2364
2015-06-21,2728
2015-06-28,2839
2015-07-05,3290
2015-07-12,2760
2015-07-19,2547
2015-07-26,2768
2015-08-02,2594
2015-08-09,2547
2015-08-16,2460
2015-08-23,2429
2015-08-30,2239
2015-09-06,2627
2015-09-13,2334
2015-09-20,1938
2015-09-27,2089
2015-10-04,2271
2015-10-11,2153
2015-10-18,2319
2015-10-25,2169
2015-11-01,2153
2015-11-08,2122
2015-11-15,2201
2015-11-22,2090
2015-11-29,2122
2015-12-06,2241
2015-12-13,2392
2015-12-20,2447
2015-12-27,2542
2016-01-03,3318
2016-01-10,3492
2016-01-17,3642
2016-01-24,3326
2016-01-31,3310
2016-02-07,2567
2016-02-14,2772
2016-02-21,2906
2016-02-28,2709
2016-03-06,2550
2016-03-13,2234
2016-03-20,2131
2016-03-27,2131
2016-04-03,2013
2016-04-10,1839
2016-04-17,1594
2016-04-24,1538
2016-05-01,1317
2016-05-08,1340
2016-05-15,1222
2016-05-22,1213
2016-05-29,1253
2016-06-05,1592
2016-06-12,1821
2016-06-19,1766
2016-06-26,2026
2016-07-03,1497
2016-07-10,2239
2016-07-17,2184
2016-07-24,1868
2016-07-31,1812
2016-08-07,1946
2016-08-14,2191
2016-08-21,2246
2016-08-28,2136
2016-09-04,2088
2016-09-11,1606
2016-09-18,1811
2016-09-25,1693
2016-10-02,1550
2016-10-09,1645
2016-10-16,1439
2016-10-23,1344
2016-10-30,1234
2016-11-06,1383
2016-11-13,1178
2016-11-20,1233
2016-11-27,1312
2016-12-04,1367
2016-12-11,1406
2016-12-18,1588
2016-12-25,1303
2017-01-01,1679
2017-01-08,1853
2017-01-15,2040
2017-01-22,1887
2017-01-29,1559
2017-02-05,1660
2017-02-12,1921
2017-02-19,1947
2017-02-26,1874
2017-03-05,1934
2017-03-12,1807
2017-03-19,1761
2017-03-26,1848
2017-04-02,2022
2017-04-09,1895
2017-04-16,1822
2017-04-23,1875
2017-04-30,2036
2017-05-07,2250
2017-05-14,2317
2017-05-21,2230
2017-05-28,2123
2017-06-04,2184
2017-06-11,1635
2017-06-18,1963
2017-06-25,2057
2017-07-02,2004
2017-07-09,1890
2017-07-16,1910
2017-07-23,1683
2017-07-30,1402
2017-08-06,1182
2017-08-13,1296
2017-08-20,1055
2017-08-27,1202
2017-09-03,1189
2017-09-10,1029
2017-09-17,1116
2017-09-24,1176
2017-10-01,1036
2017-10-08,983
2017-10-15,849
2017-10-22,963
2017-10-29,1010
2017-11-05,1070
2017-11-12,1003
2017-11-19,1536
2017-11-26,1903
2017-12-03,1935
2017-12-10,1740
2017-12-17,1910
2017-12-24,1793
2017-12-31,1037
2018-01-07,1164
2018-01-14,1071
2018-01-21,1064
2018-01-28,1211
2018-02-04,1158
2018-02-11,1225
2018-02-18,1272
2018-02-25,1092
2018-03-04,1078
2018-03-11,1146
2018-03-18,1039
2018-03-25,1253
2018-04-01,1193
2018-04-08,1066
2018-04-15,872
2018-04-22,1079
2018-04-29,1314
2018-05-06,1548
2018-05-13,1354
2018-05-20,1508
2018-05-27,1662
2018-06-03,1555
2018-06-10,1689
2018-06-17,1843
2018-06-24,2050
2018-07-01,1890
2018-07-08,1876
2018-07-15,2010
2018-07-22,2138
2018-07-29,2191
2018-08-05,2118
2018-08-12,1944
2018-08-19,1590
2018-08-26,1590
2018-09-02,1643
2018-09-09,1429
2018-09-16,1256
2018-09-23,1336
2018-09-30,1457
2018-10-07,1570
2018-10-14,1504
2018-10-21,1611
2018-10-28,1731
2018-11-04,1725
2018-11-11,1892
2018-11-18,2046
2018-11-25,2073
2018-12-02,2615
2018-12-09,2341
2018-12-16,2455
2018-12-23,2548
2018-12-30,2566
2019-01-06,3195
2019-01-13,3352
2019-01-20,3125
2019-01-27,3239
2019-02-03,2480
2019-02-10,3047
2019-02-17,2873
2019-02-24,2611
2019-03-03,2777
2019-03-10,2577
2019-03-17,2332
2019-03-24,2062
2019-03-31,1809
2019-04-07,1731
2019-04-14,1609
2019-04-21,1626
2019-04-28,1687
2019-05-05,1854
2019-05-12,2177
2019-05-19,2028
2019-05-26,2168
2019-06-02,1575
2019-06-09,2308
2019-06-16,2788
2019-06-23,2789
2019-06-30,3173
2019-07-07,3348
2019-07-14,3400
2019-07-21,3584
2019-07-28,3217
2019-08-04,3392
2019-08-11,2729
2019-08-18,2956
2019-08-25,2738
2019-09-01,2389
2019-09-08,2284
2019-09-15,2546
2019-09-22,2372
2019-09-29,2171
2019-10-06,2006
2019-10-13,1927
2019-10-20,1971
2019-10-27,1805
2019-11-03,1937
2019-11-10,2399
2019-11-17,2173
2019-11-24,2583
2019-12-01,2435
2019-12-08,2793
2019-12-15,2618
2019-12-22,2680
2019-12-29,2837
2020-01-05,3238
2020-01-12,3396
2020-01-19,3117
2020-01-26,2733
2020-02-02,3126
2020-02-09,2716
2020-02-16,2611
2020-02-23,2515
2020-03-01,2533
2020-03-08,2210
2020-03-15,1878
2020-03-22,1294
2020-03-29,1163
2020-04-05,1111
2020-04-12,1190
2020-04-19,1286
2020-04-26,1399
2020-05-03,1408
2020-05-10,1496
2020-05-17,1810
2020-05-24,1601
2020-05-31,1924
2020-06-07,1950
2020-06-14,1759
2020-06-21,2143
2020-06-28,2125
2020-07-05,2152
2020-07-12,2091
2020-07-19,1908
2020-07-26,1777
2020-08-02,1812
2020-08-09,1926
2020-08-16,1716
2020-08-23,1656
2020-08-30,1472
2020-09-06,1499
2020-09-13,1359
2020-09-20,1307
2020-09-27,1220
2020-10-04,1098
2020-10-11,1194
2020-10-18,1151
2020-10-25,1072
2020-11-01,1011
2020-11-08,950
2020-11-15,916
2020-11-22,829
2020-11-29,890
2020-12-06,811
2020-12-13,811
2020-12-20,811
2021-01-03,729
2021-01-10,690
2021-01-17,762
2021-01-24,565
2021-01-31,625
2021-02-07,533
2021-02-14,586
2021-02-21,599
2021-02-28,541
2021-03-07,534
2021-03-14,495
2021-03-21,384
2021-03-28,443
2021-04-04,450
2021-04-11,457
2021-04-18,510
2021-04-25,477
2021-05-02,471
2021-05-09,425
2021-05-16,471
2021-05-23,517
2021-05-30,537
2021-06-06,564
2021-06-13,695
2021-06-20,663
2021-06-27,584
2021-07-04,663
2021-07-11,526
2021-07-18,473
2021-07-25,500
2021-08-01,527
2021-08-08,422
2021-08-15,435
2021-08-22,370
2021-08-29,331
2021-09-05,410
2021-09-12,377
2021-09-19,443
2021-09-26,476
2021-10-03,516
2021-10-10,490
2021-10-17,490
2021-10-24,405
2021-10-31,405
2021-11-07,504
2021-11-14,484
2021-11-21,504
2021-11-28,518
2021-12-05,564
2021-12-12,591
2021-12-19,663
2021-12-26,584
2022-01-02,725
2022-01-09,720
2022-01-16,734
2022-01-23,797
2022-01-30,633
2022-02-06,715
2022-02-13,662
2022-02-20,604
2022-02-27,676
2022-03-06,546
2022-03-13,594
2022-03-20,734
2022-03-27,879
2022-04-03,947
2022-04-10,1005
2022-04-17,966
2022-04-24,1024
2022-05-01,710
2022-05-08,1005
2022-05-15,1430
2022-05-22,1348
2022-05-29,1391
2022-06-05,1304
2022-06-12,1502
2022-06-19,1502
2022-06-26,1575
2022-07-03,1681
2022-07-10,1498
2022-07-17,1705
2022-07-24,1512
2022-07-31,1396
2022-08-07,1386
2022-08-14,1435
2022-08-21,1362
2022-08-28,1246
2022-09-04,1237
2022-09-11,1367
2022-09-18,1546
2022-09-25,1469
2022-10-02,1478
2022-10-09,1478
2022-10-16,1623
2022-10-23,1459
2022-10-30,1585
2022-11-06,1700
2022-11-13,1715
2022-11-20,1599
2022-11-27,1720
2022-12-04,1937
2022-12-11,1879
2022-12-18,1957
2022-12-25,2034
